content_id,url,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,currency,status
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,ALL,0,NULL,NULL,USD,ZERO
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,ALL,0,NULL,NULL,USD,ZERO
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,ALL,0,NULL,NULL,USD,ZERO
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,ALL,0,NULL,NULL,USD,ZERO
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,ALL,0,NULL,NULL,USD,ZERO
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,ALL,0,NULL,NULL,USD,ZERO
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,ALL,0,NULL,NULL,USD,ZERO
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,ALL,0,NULL,NULL,USD,ZERO
