content_id,page,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,pageviews_28d,sessions_28d_total,affiliate_clicks_per_1000_sessions,gsc_clicks_28d,gsc_impressions_28d,commercial_intent
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,40,CITY
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,40,CITY
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Airalo,0,NULL,NULL,NULL,166,0.0,1,26,CITY
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Aviasales,0,NULL,NULL,NULL,166,0.0,1,26,CITY
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Booking,0,NULL,NULL,NULL,166,0.0,1,26,CITY
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,Klook,0,NULL,NULL,NULL,166,0.0,1,26,CITY
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,SafetyWing,0,NULL,NULL,NULL,166,0.0,1,26,CITY
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Airalo,0,NULL,NULL,NULL,166,0.0,0,24,CITY
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,24,CITY
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Booking,0,NULL,NULL,NULL,166,0.0,0,24,CITY
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,Klook,0,NULL,NULL,NULL,166,0.0,0,24,CITY
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Airalo,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Booking,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,Klook,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,20,TOUR
