content_id,url,impressions,clicks,ctr,position,indexed,canonical,legacy_persona,commercial_intent,priority
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,87,0,0.0,41.87,INDEXED,OK,0,VISA,P1
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,83,0,0.0,62.45,INDEXED,OK,0,PAYMENT,P1
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,52,0,0.0,11.40,INDEXED,OK,0,TRAVEL_GUIDE,P1
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,51,0,0.0,20.88,INDEXED,OK,0,TRAVEL_GUIDE,P1
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,1,0,0.0,5.00,INDEXED,OK,2,TRANSPORT,P2
